year,heavyfueloil,lightfueloil,transportfuels,otheroils,coal,othercoals,naturalgas,peat,otherfossilfuels,co2transfer,woodfuels,othernonfossilfuels,allfossilfuels,allbiofuels,evaporations,total
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
1990,5.6,7.8,11.6,2.3,12,2.5,5,5.6,0.1,0,18.2,0.1,52.5,18.3,0.1,52.6
1991,5.1,7.7,11.3,2.3,10.9,2.6,5.2,5.8,0.1,0,18.8,0.1,51.1,18.9,0.1,51.2
1992,5.2,7.6,11.2,2.3,9.9,2.6,5.5,6.1,0.1,0,17.6,0.1,50.5,17.7,0.1,50.6
1993,4.8,7.6,10.7,2.2,11.6,2.9,5.8,6.7,0.1,0,20.9,0.1,52.4,21,0.2,52.5
1994,5.1,7.4,11.1,2.4,14.7,3,6.2,7.7,0.1,0,21.7,0.1,57.7,21.8,0.1,57.8
1995,4.6,7.3,10.9,2.4,11.5,2.7,6.5,8.3,0.2,-0.1,22,0.1,54.3,22.2,0.1,54.3
1996,4.7,7.4,10.9,2.6,15.5,2.8,6.8,9.2,0.2,-0.1,22.1,0.1,60,22.2,0.1,60
1997,4.3,7.4,11.4,2.6,13.5,3.3,6.7,9.2,0.2,-0.1,25.1,0.1,58.4,25.2,0.1,58.5
1998,4.2,7.5,11.6,2.8,9.4,3.4,7.6,8.5,0.3,-0.1,25.7,0.1,55.1,25.9,0.1,55.2
1999,4.3,7.5,11.8,2.6,9.5,3.5,7.6,7.5,0.3,-0.2,27.9,0.2,54.5,28,0.1,54.6
2000,3.8,7.2,11.7,2.6,9.2,3.7,7.8,6.6,0.3,-0.2,27.6,0.2,52.8,27.8,0.1,52.8
2001,4,7.3,11.9,2.6,11.1,3.2,8.5,9.2,0.3,-0.2,26.8,0.2,58.1,27,0.1,58.2
2002,4.1,7.2,12.1,2.8,12.8,3.3,8.4,9.8,0.3,-0.2,28.9,0.3,60.7,29.2,0.1,60.8
2003,4,7.2,12.3,2.9,18.1,3.6,9.3,10.7,0.3,-0.2,29.6,0.3,68.3,29.9,0.1,68.3
2004,3.7,7,12.6,3,15.8,3.6,9,9.6,0.3,-0.2,31,0.4,64.4,31.4,0.1,64.5
2005,3.5,6.7,12.7,3,7.5,3.6,8.2,7.4,0.3,-0.2,28.9,0.6,52.7,29.5,0.1,52.8
2006,3.5,6.5,12.8,3,15.3,3.7,8.8,10,0.3,-0.2,32.3,0.5,63.8,32.8,0.1,63.8
2007,3.3,6.4,13.2,3,13.2,3.4,8.1,11,0.3,-0.2,30.9,0.7,61.8,31.6,0.1,61.9
2008,2.7,5.9,12.6,3,8.8,3.2,8.3,8.8,0.4,-0.2,31.1,1,53.5,32.1,0.1,53.6
2009,2.7,5.6,12.1,3,10.7,2.1,7.4,7.8,0.5,-0.2,27.6,1.4,51.7,29,0.1,51.8
2010,2.8,5.9,12.6,3,13.4,2.8,8.2,10.2,0.4,-0.2,33.5,1.4,59.2,34.9,0.1,59.3
2011,2.2,5.3,12.3,3.1,9.6,2.8,7.2,9,0.4,-0.2,32.9,1.6,51.7,34.5,0.1,51.8
2012,2.1,5.6,12.1,3,7.8,2.1,6.3,7.1,0.6,-0.1,34.4,1.7,46.6,36.1,0.1,46.7
2013,1.6,5.3,11.9,3,10.6,2.3,5.9,6.1,0.7,-0.1,35,1.9,47.2,36.9,0.1,47.3
2014,1.5,5.2,10.8,3,8.1,2.4,5.3,6.5,0.8,-0.1,35.1,2.8,43.4,37.9,0.1,43.5
2015,1.6,4.9,10.8,2.8,5.7,2.5,4.6,6.1,0.8,-0.1,34.2,2.9,39.7,37.1,0.1,39.8
2016,1.4,5,12,3.1,7.5,2.6,4,6,0.9,-0.1,36.2,2.1,42.4,38.3,0.1,42.5
2017,1.3,5,11.4,3.1,6.6,2.5,3.6,5.7,1,-0.1,37.4,3.1,40,40.5,0.1,40.1
2018,1,5,11.5,3.2,6.3,2.7,4.2,6.5,1,-0.1,38.5,3.2,41.2,41.7,0.1,41.3
